month,original_total,original_member,original_casual,target_samples,sampled_total,sampled_member,sampled_casual,sampling_rate
202501,285731,225448,60283,2600,2600,1300,1300,0.009099467681140653
202502,368813,287144,81669,3300,3300,1650,1650,0.008947623863583984
202503,626757,438203,188554,5600,5600,2800,2800,0.008934882258993517
202504,664199,466007,198192,6000,6000,3000,3000,0.009033437268047678
202505,691727,480858,210869,6200,6200,3100,3100,0.008963073582497141
202506,691620,480291,211329,6200,6200,3100,3100,0.008964460252739944
202507,705343,488137,217206,6400,6400,3200,3200,0.009073599652934814
202508,638988,420720,218268,5800,5800,2900,2900,0.009076852773448016
202509,625035,438489,186546,5600,5600,2800,2800,0.008959498268096987
202510,624869,441665,183204,5600,5600,2800,2800,0.008961878409714677
202511,446294,331312,114982,4000,4000,2000,2000,0.008962701716805514
202512,293271,232300,60971,2600,2600,1300,1300,0.008865520286697287
